v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	1.500000e+01	1.500000e+01	4.971690e-07	-1.506573e-11	1.509250e-11
1.000000000000000e-02	1.500000e+01	1.500000e+01	1.000050e-02	-1.504481e-11	1.509383e-11
2.000000000000000e-02	1.500000e+01	1.500000e+01	2.000050e-02	-1.502332e-11	1.510668e-11
3.000000000000000e-02	1.500000e+01	1.500000e+01	3.000049e-02	-1.500157e-11	1.512733e-11
4.000000000000000e-02	1.500000e+01	1.500000e+01	4.000049e-02	-1.497930e-11	1.515919e-11
5.000000000000000e-02	1.500000e+01	1.500000e+01	5.000049e-02	-1.495637e-11	1.521413e-11
6.000000000000000e-02	1.500000e+01	1.500000e+01	6.000049e-02	-1.493256e-11	1.529982e-11
7.000000000000001e-02	1.500000e+01	1.500000e+01	7.000049e-02	-1.490762e-11	1.542750e-11
8.000000000000000e-02	1.500000e+01	1.500000e+01	8.000049e-02	-1.488122e-11	1.561699e-11
9.000000000000000e-02	1.500000e+01	1.500000e+01	9.000049e-02	-1.485288e-11	1.590248e-11
9.999999999999999e-02	1.500000e+01	1.500000e+01	1.000005e-01	-1.482200e-11	1.632608e-11
1.100000000000000e-01	1.500000e+01	1.500000e+01	1.100005e-01	-1.478781e-11	1.695315e-11
1.200000000000000e-01	1.500000e+01	1.500000e+01	1.200005e-01	-1.474927e-11	1.787664e-11
1.300000000000000e-01	1.500000e+01	1.500000e+01	1.300005e-01	-1.470496e-11	1.923843e-11
1.400000000000000e-01	1.500000e+01	1.500000e+01	1.400005e-01	-1.465303e-11	2.123599e-11
1.500000000000000e-01	1.500000e+01	1.500000e+01	1.500005e-01	-1.459098e-11	2.417331e-11
1.600000000000000e-01	1.500000e+01	1.500000e+01	1.600005e-01	-1.451544e-11	2.848677e-11
1.700000000000000e-01	1.500000e+01	1.500000e+01	1.700005e-01	-1.442189e-11	3.482079e-11
1.800000000000000e-01	1.500000e+01	1.500000e+01	1.800005e-01	-1.430413e-11	4.411145e-11
1.900000000000000e-01	1.500000e+01	1.500000e+01	1.900005e-01	-1.415384e-11	5.774921e-11
2.000000000000000e-01	1.500000e+01	1.500000e+01	2.000005e-01	-1.395950e-11	7.775434e-11
2.100000000000000e-01	1.500000e+01	1.500000e+01	2.100005e-01	-1.370530e-11	1.071028e-10
2.200000000000001e-01	1.500000e+01	1.500000e+01	2.200004e-01	-1.336947e-11	1.501587e-10
2.300000000000001e-01	1.500000e+01	1.500000e+01	2.300004e-01	-1.292180e-11	2.133160e-10
