v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	2.000000e+00	2.000000e+00	6.816902e-08	-2.065728e-12	2.090011e-12
1.000000000000000e-02	2.000000e+00	2.000000e+00	1.000007e-02	-2.044806e-12	2.089455e-12
2.000000000000000e-02	2.000000e+00	2.000000e+00	2.000007e-02	-2.023323e-12	2.098412e-12
3.000000000000000e-02	2.000000e+00	2.000000e+00	3.000007e-02	-2.001570e-12	2.113295e-12
4.000000000000000e-02	2.000000e+00	2.000000e+00	4.000007e-02	-1.979305e-12	2.139375e-12
5.000000000000000e-02	2.000000e+00	2.000000e+00	5.000006e-02	-1.956371e-12	2.182768e-12
6.000000000000000e-02	2.000000e+00	2.000000e+00	6.000006e-02	-1.932570e-12	2.251137e-12
7.000000000000001e-02	2.000000e+00	2.000000e+00	7.000006e-02	-1.907623e-12	2.355726e-12
8.000000000000000e-02	2.000000e+00	2.000000e+00	8.000007e-02	-1.881220e-12	2.513466e-12
9.000000000000000e-02	2.000000e+00	2.000000e+00	9.000006e-02	-1.852882e-12	2.749873e-12
9.999999999999999e-02	2.000000e+00	2.000000e+00	1.000001e-01	-1.822003e-12	3.101305e-12
1.100000000000000e-01	2.000000e+00	2.000000e+00	1.100001e-01	-1.787812e-12	3.621561e-12
1.200000000000000e-01	2.000000e+00	2.000000e+00	1.200001e-01	-1.749264e-12	4.389162e-12
1.300000000000000e-01	2.000000e+00	2.000000e+00	1.300001e-01	-1.704956e-12	5.520015e-12
1.400000000000000e-01	2.000000e+00	2.000000e+00	1.400001e-01	-1.653029e-12	7.182694e-12
1.500000000000000e-01	2.000000e+00	2.000000e+00	1.500001e-01	-1.590972e-12	9.626376e-12
1.600000000000000e-01	2.000000e+00	2.000000e+00	1.600001e-01	-1.515429e-12	1.321524e-11
1.700000000000000e-01	2.000000e+00	2.000000e+00	1.700000e-01	-1.421873e-12	1.848403e-11
1.800000000000000e-01	2.000000e+00	2.000000e+00	1.800000e-01	-1.304152e-12	2.621582e-11
1.900000000000000e-01	2.000000e+00	2.000000e+00	1.900000e-01	-1.153855e-12	3.756145e-11
2.000000000000000e-01	2.000000e+00	2.000000e+00	2.000000e-01	-9.595022e-13	5.420634e-11
2.100000000000000e-01	2.000000e+00	2.000000e+00	2.100000e-01	-7.053333e-13	7.862413e-11
2.200000000000001e-01	2.000000e+00	2.000000e+00	2.200000e-01	-3.695258e-13	1.144423e-10
2.300000000000001e-01	2.000000e+00	2.000000e+00	2.300000e-01	7.817666e-14	1.669825e-10
2.400000000000001e-01	2.000000e+00	2.000000e+00	2.400000e-01	6.797565e-13	2.440477e-10
2.500000000000001e-01	2.000000e+00	2.000000e+00	2.500000e-01	1.494174e-12	3.570845e-10
2.600000000000001e-01	2.000000e+00	2.000000e+00	2.599999e-01	2.604028e-12	5.228809e-10
2.700000000000001e-01	2.000000e+00	1.999999e+00	2.699999e-01	4.125653e-12	7.660590e-10
2.800000000000001e-01	2.000000e+00	1.999999e+00	2.799998e-01	6.223867e-12	1.122733e-09
2.900000000000001e-01	2.000000e+00	1.999998e+00	2.899997e-01	9.132326e-12	1.645871e-09
3.000000000000001e-01	2.000000e+00	1.999998e+00	2.999996e-01	1.318390e-11	2.413157e-09
3.100000000000001e-01	2.000000e+00	1.999996e+00	3.099994e-01	1.885376e-11	3.538532e-09
3.200000000000001e-01	2.000000e+00	1.999995e+00	3.199991e-01	2.682254e-11	5.189102e-09
3.300000000000001e-01	2.000000e+00	1.999992e+00	3.299987e-01	3.806714e-11	7.609947e-09
3.400000000000001e-01	2.000000e+00	1.999989e+00	3.399982e-01	5.399345e-11	1.116050e-08
3.500000000000001e-01	2.000000e+00	1.999984e+00	3.499975e-01	7.662823e-11	1.636786e-08
3.600000000000002e-01	2.000000e+00	1.999976e+00	3.599964e-01	1.088998e-10	2.400500e-08
3.700000000000002e-01	2.000000e+00	1.999965e+00	3.699949e-01	1.550443e-10	3.520533e-08
3.800000000000002e-01	2.000000e+00	1.999948e+00	3.799927e-01	2.212012e-10	5.163060e-08
3.900000000000002e-01	2.000000e+00	1.999924e+00	3.899896e-01	3.162768e-10	7.571675e-08
4.000000000000002e-01	2.000000e+00	1.999889e+00	3.999850e-01	4.532059e-10	1.110337e-07
4.100000000000002e-01	2.000000e+00	1.999837e+00	4.099785e-01	6.507873e-10	1.628115e-07
4.200000000000002e-01	2.000000e+00	1.999761e+00	4.199691e-01	9.363560e-10	2.387081e-07
4.300000000000002e-01	2.000000e+00	1.999650e+00	4.299555e-01	1.349663e-09	3.499281e-07
4.400000000000002e-01	2.000000e+00	1.999487e+00	4.399357e-01	1.948499e-09	5.128471e-07
4.500000000000002e-01	2.000000e+00	1.999249e+00	4.499070e-01	2.816799e-09	7.513594e-07
4.600000000000002e-01	2.000000e+00	1.998900e+00	4.598655e-01	4.076266e-09	1.100249e-06
4.700000000000003e-01	2.000000e+00	1.998390e+00	4.698052e-01	5.902852e-09	1.609978e-06
4.800000000000003e-01	2.000000e+00	1.997647e+00	4.797179e-01	8.549809e-09	2.353391e-06
