v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	1.000000e+00	1.000000e+00	3.516902e-08	-1.065728e-12	1.089819e-12
1.000000000000000e-02	1.000000e+00	1.000000e+00	1.000003e-02	-1.044806e-12	1.089118e-12
2.000000000000000e-02	1.000000e+00	1.000000e+00	2.000003e-02	-1.023323e-12	1.097777e-12
3.000000000000000e-02	1.000000e+00	1.000000e+00	3.000003e-02	-1.001570e-12	1.112215e-12
4.000000000000000e-02	1.000000e+00	1.000000e+00	4.000003e-02	-9.793053e-13	1.137852e-12
5.000000000000000e-02	1.000000e+00	1.000000e+00	5.000003e-02	-9.563714e-13	1.180356e-12
6.000000000000000e-02	1.000000e+00	1.000000e+00	6.000003e-02	-9.325699e-13	1.247393e-12
7.000000000000001e-02	1.000000e+00	1.000000e+00	7.000003e-02	-9.076228e-13	1.350205e-12
8.000000000000000e-02	1.000000e+00	1.000000e+00	8.000003e-02	-8.812205e-13	1.505502e-12
9.000000000000000e-02	1.000000e+00	1.000000e+00	9.000003e-02	-8.528823e-13	1.738134e-12
9.999999999999999e-02	1.000000e+00	1.000000e+00	1.000000e-01	-8.220032e-13	2.084015e-12
1.100000000000000e-01	1.000000e+00	1.000000e+00	1.100000e-01	-7.878119e-13	2.596054e-12
1.200000000000000e-01	1.000000e+00	1.000000e+00	1.200000e-01	-7.492644e-13	3.351664e-12
1.300000000000000e-01	1.000000e+00	1.000000e+00	1.300000e-01	-7.049559e-13	4.464751e-12
1.400000000000000e-01	1.000000e+00	1.000000e+00	1.400000e-01	-6.530285e-13	6.101673e-12
1.500000000000000e-01	1.000000e+00	1.000000e+00	1.500000e-01	-5.909712e-13	8.507381e-12
1.600000000000000e-01	1.000000e+00	1.000000e+00	1.600000e-01	-5.154279e-13	1.204051e-11
1.700000000000000e-01	1.000000e+00	1.000000e+00	1.700000e-01	-4.218720e-13	1.722736e-11
1.800000000000000e-01	1.000000e+00	1.000000e+00	1.800000e-01	-3.041507e-13	2.483923e-11
1.900000000000000e-01	1.000000e+00	9.999999e-01	1.900000e-01	-1.538528e-13	3.600855e-11
2.000000000000000e-01	1.000000e+00	9.999999e-01	2.000000e-01	4.050100e-14	5.239496e-11
2.100000000000000e-01	1.000000e+00	9.999999e-01	2.100000e-01	2.946714e-13	7.643346e-11
2.200000000000001e-01	1.000000e+00	9.999999e-01	2.200000e-01	6.304810e-13	1.116952e-10
2.300000000000001e-01	1.000000e+00	9.999998e-01	2.300000e-01	1.078187e-12	1.634184e-10
2.400000000000001e-01	1.000000e+00	9.999998e-01	2.399999e-01	1.679771e-12	2.392849e-10
2.500000000000001e-01	1.000000e+00	9.999996e-01	2.499999e-01	2.494195e-12	3.505625e-10
2.600000000000001e-01	1.000000e+00	9.999995e-01	2.599999e-01	3.604001e-12	5.137772e-10
2.700000000000001e-01	1.000000e+00	9.999992e-01	2.699998e-01	5.125638e-12	7.531670e-10
2.800000000000001e-01	1.000000e+00	9.999989e-01	2.799998e-01	7.223871e-12	1.104282e-09
2.900000000000001e-01	1.000000e+00	9.999984e-01	2.899997e-01	1.013229e-11	1.619261e-09
3.000000000000001e-01	1.000000e+00	9.999976e-01	2.999995e-01	1.418385e-11	2.374575e-09
