v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	8.000000e+00	8.000000e+00	2.661690e-07	-8.065727e-12	8.091159e-12
1.000000000000000e-02	8.000000e+00	8.000000e+00	1.000027e-02	-8.044806e-12	8.091473e-12
2.000000000000000e-02	8.000000e+00	8.000000e+00	2.000026e-02	-8.023323e-12	8.102225e-12
3.000000000000000e-02	8.000000e+00	8.000000e+00	3.000026e-02	-8.001570e-12	8.119771e-12
4.000000000000000e-02	8.000000e+00	8.000000e+00	4.000026e-02	-7.979305e-12	8.148519e-12
5.000000000000000e-02	8.000000e+00	8.000000e+00	5.000026e-02	-7.956371e-12	8.197241e-12
6.000000000000000e-02	8.000000e+00	8.000000e+00	6.000026e-02	-7.932557e-12	8.273603e-12
7.000000000000001e-02	8.000000e+00	8.000000e+00	7.000026e-02	-7.907622e-12	8.388850e-12
8.000000000000000e-02	8.000000e+00	8.000000e+00	8.000026e-02	-7.881220e-12	8.561248e-12
9.000000000000000e-02	8.000000e+00	8.000000e+00	9.000026e-02	-7.852882e-12	8.820306e-12
9.999999999999999e-02	8.000000e+00	8.000000e+00	1.000003e-01	-7.822003e-12	9.205046e-12
1.100000000000000e-01	8.000000e+00	8.000000e+00	1.100003e-01	-7.787812e-12	9.774599e-12
1.200000000000000e-01	8.000000e+00	8.000000e+00	1.200003e-01	-7.749265e-12	1.061415e-11
1.300000000000000e-01	8.000000e+00	8.000000e+00	1.300002e-01	-7.704957e-12	1.185159e-11
1.400000000000000e-01	8.000000e+00	8.000000e+00	1.400003e-01	-7.653030e-12	1.366883e-11
1.500000000000000e-01	8.000000e+00	8.000000e+00	1.500002e-01	-7.590974e-12	1.634034e-11
1.600000000000000e-01	8.000000e+00	8.000000e+00	1.600002e-01	-7.515433e-12	2.026364e-11
1.700000000000000e-01	8.000000e+00	8.000000e+00	1.700002e-01	-7.421879e-12	2.602407e-11
1.800000000000000e-01	8.000000e+00	8.000000e+00	1.800002e-01	-7.304161e-12	3.447534e-11
1.900000000000000e-01	8.000000e+00	8.000000e+00	1.900002e-01	-7.153868e-12	4.687888e-11
2.000000000000000e-01	8.000000e+00	8.000000e+00	2.000002e-01	-6.959522e-12	6.507465e-11
2.100000000000000e-01	8.000000e+00	8.000000e+00	2.100002e-01	-6.705315e-12	9.176813e-11
2.200000000000001e-01	8.000000e+00	8.000000e+00	2.200002e-01	-6.369518e-12	1.309253e-10
2.300000000000001e-01	8.000000e+00	8.000000e+00	2.300002e-01	-5.921832e-12	1.883672e-10
