v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	4.000000e+00	4.000000e+00	1.341690e-07	-4.065727e-12	4.090393e-12
1.000000000000000e-02	4.000000e+00	4.000000e+00	1.000013e-02	-4.044806e-12	4.090128e-12
2.000000000000000e-02	4.000000e+00	4.000000e+00	2.000013e-02	-4.023323e-12	4.099683e-12
3.000000000000000e-02	4.000000e+00	4.000000e+00	3.000013e-02	-4.001570e-12	4.115453e-12
4.000000000000000e-02	4.000000e+00	4.000000e+00	4.000013e-02	-3.979305e-12	4.142423e-12
5.000000000000000e-02	4.000000e+00	4.000000e+00	5.000013e-02	-3.956371e-12	4.187593e-12
6.000000000000000e-02	4.000000e+00	4.000000e+00	6.000013e-02	-3.932570e-12	4.258626e-12
7.000000000000001e-02	4.000000e+00	4.000000e+00	7.000013e-02	-3.907622e-12	4.366768e-12
8.000000000000000e-02	4.000000e+00	4.000000e+00	8.000012e-02	-3.881220e-12	4.529393e-12
9.000000000000000e-02	4.000000e+00	4.000000e+00	9.000013e-02	-3.852882e-12	4.773351e-12
9.999999999999999e-02	4.000000e+00	4.000000e+00	1.000001e-01	-3.822003e-12	5.135886e-12
1.100000000000000e-01	4.000000e+00	4.000000e+00	1.100001e-01	-3.787812e-12	5.672574e-12
1.200000000000000e-01	4.000000e+00	4.000000e+00	1.200001e-01	-3.749265e-12	6.464158e-12
1.300000000000000e-01	4.000000e+00	4.000000e+00	1.300001e-01	-3.704956e-12	7.630540e-12
1.400000000000000e-01	4.000000e+00	4.000000e+00	1.400001e-01	-3.653029e-12	9.344739e-12
1.500000000000000e-01	4.000000e+00	4.000000e+00	1.500001e-01	-3.590973e-12	1.186437e-11
1.600000000000000e-01	4.000000e+00	4.000000e+00	1.600001e-01	-3.515430e-12	1.556471e-11
1.700000000000000e-01	4.000000e+00	4.000000e+00	1.700001e-01	-3.421875e-12	2.099738e-11
1.800000000000000e-01	4.000000e+00	4.000000e+00	1.800001e-01	-3.304155e-12	2.896899e-11
1.900000000000000e-01	4.000000e+00	4.000000e+00	1.900001e-01	-3.153859e-12	4.066726e-11
2.000000000000000e-01	4.000000e+00	4.000000e+00	2.000001e-01	-2.959509e-12	5.782911e-11
2.100000000000000e-01	4.000000e+00	4.000000e+00	2.100001e-01	-2.705342e-12	8.300546e-11
2.200000000000001e-01	4.000000e+00	4.000000e+00	2.200001e-01	-2.369490e-12	1.199367e-10
2.300000000000001e-01	4.000000e+00	4.000000e+00	2.300001e-01	-1.921843e-12	1.741107e-10
2.400000000000001e-01	4.000000e+00	4.000000e+00	2.400000e-01	-1.320219e-12	2.535733e-10
2.500000000000001e-01	4.000000e+00	4.000000e+00	2.500000e-01	-5.058124e-13	3.701285e-10
2.600000000000001e-01	4.000000e+00	4.000000e+00	2.600000e-01	6.040240e-13	5.410882e-10
2.700000000000001e-01	4.000000e+00	3.999999e+00	2.699999e-01	2.125683e-12	7.918431e-10
2.800000000000001e-01	4.000000e+00	3.999999e+00	2.799999e-01	4.223860e-12	1.159636e-09
2.900000000000001e-01	4.000000e+00	3.999998e+00	2.899998e-01	7.132326e-12	1.699090e-09
3.000000000000001e-01	4.000000e+00	3.999998e+00	2.999996e-01	1.118388e-11	2.490322e-09
3.100000000000001e-01	4.000000e+00	3.999996e+00	3.099994e-01	1.685382e-11	3.650835e-09
3.200000000000001e-01	4.000000e+00	3.999995e+00	3.199992e-01	2.482264e-11	5.352970e-09
3.300000000000001e-01	4.000000e+00	3.999992e+00	3.299988e-01	3.606724e-11	7.849483e-09
3.400000000000001e-01	4.000000e+00	3.999989e+00	3.399983e-01	5.199360e-11	1.151107e-08
3.500000000000001e-01	4.000000e+00	3.999983e+00	3.499976e-01	7.462848e-11	1.688137e-08
3.600000000000002e-01	4.000000e+00	3.999975e+00	3.599965e-01	1.068999e-10	2.475761e-08
3.700000000000002e-01	4.000000e+00	3.999964e+00	3.699949e-01	1.530447e-10	3.630879e-08
3.800000000000002e-01	4.000000e+00	3.999947e+00	3.799928e-01	2.192018e-10	5.324885e-08
3.900000000000002e-01	4.000000e+00	3.999922e+00	3.899896e-01	3.142775e-10	7.809029e-08
4.000000000000002e-01	4.000000e+00	3.999886e+00	3.999851e-01	4.512069e-10	1.145153e-07
4.100000000000002e-01	4.000000e+00	3.999832e+00	4.099786e-01	6.487888e-10	1.679185e-07
4.200000000000002e-01	4.000000e+00	3.999754e+00	4.199692e-01	9.343580e-10	2.461989e-07
4.300000000000002e-01	4.000000e+00	3.999639e+00	4.299555e-01	1.347666e-09	3.609141e-07
4.400000000000002e-01	4.000000e+00	3.999471e+00	4.399358e-01	1.946503e-09	5.289556e-07
4.500000000000002e-01	4.000000e+00	3.999225e+00	4.499071e-01	2.814805e-09	7.749713e-07
4.600000000000002e-01	4.000000e+00	3.998865e+00	4.598655e-01	4.074273e-09	1.134842e-06
4.700000000000003e-01	4.000000e+00	3.998339e+00	4.698053e-01	5.900861e-09	1.660623e-06
4.800000000000003e-01	4.000000e+00	3.997572e+00	4.797179e-01	8.547819e-09	2.427460e-06
4.900000000000003e-01	4.000000e+00	3.996457e+00	4.895915e-01	1.237720e-08	3.543054e-06
5.000000000000002e-01	4.000000e+00	3.994840e+00	4.994093e-01	1.790147e-08	5.160169e-06
5.100000000000002e-01	4.000000e+00	3.992508e+00	5.091474e-01	2.583552e-08	7.492279e-06
5.200000000000002e-01	4.000000e+00	3.989169e+00	5.187739e-01	3.715606e-08	1.083144e-05
5.300000000000002e-01	4.000000e+00	3.984435e+00	5.282457e-01	5.315883e-08	1.556545e-05
5.400000000000003e-01	4.000000e+00	3.977812e+00	5.375087e-01	7.549374e-08	2.218835e-05
5.500000000000003e-01	4.000000e+00	3.968705e+00	5.464971e-01	1.061474e-07	3.129493e-05
5.600000000000003e-01	4.000000e+00	3.956451e+00	5.551378e-01	1.473392e-07	4.354897e-05
5.700000000000003e-01	4.000000e+00	3.940380e+00	5.633566e-01	2.013140e-07	5.962018e-05
5.800000000000003e-01	4.000000e+00	3.919902e+00	5.710881e-01	2.700583e-07	8.009807e-05
5.900000000000003e-01	4.000000e+00	3.894593e+00	5.782844e-01	3.550186e-07	1.054064e-04
6.000000000000003e-01	4.000000e+00	3.864252e+00	5.849217e-01	4.569170e-07	1.357476e-04
6.100000000000003e-01	4.000000e+00	3.828905e+00	5.910012e-01	5.757228e-07	1.710947e-04
6.200000000000003e-01	4.000000e+00	3.788773e+00	5.965447e-01	7.107678e-07	2.112266e-04
6.300000000000003e-01	4.000000e+00	3.744211e+00	6.015889e-01	8.609417e-07	2.557889e-04
6.400000000000003e-01	4.000000e+00	3.695645e+00	6.061785e-01	1.024895e-06	3.043550e-04
6.500000000000004e-01	4.000000e+00	3.643523e+00	6.103603e-01	1.201204e-06	3.564776e-04
6.600000000000004e-01	4.000000e+00	3.588278e+00	6.141800e-01	1.388484e-06	4.117220e-04
6.700000000000004e-01	4.000000e+00	3.530314e+00	6.176801e-01	1.585450e-06	4.696861e-04
