v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	6.000000e+00	6.000000e+00	2.001690e-07	-6.065727e-12	6.090777e-12
1.000000000000000e-02	6.000000e+00	6.000000e+00	1.000020e-02	-6.044806e-12	6.090801e-12
2.000000000000000e-02	6.000000e+00	6.000000e+00	2.000020e-02	-6.023323e-12	6.100954e-12
3.000000000000000e-02	6.000000e+00	6.000000e+00	3.000020e-02	-6.001570e-12	6.117613e-12
4.000000000000000e-02	6.000000e+00	6.000000e+00	4.000020e-02	-5.979305e-12	6.145471e-12
5.000000000000000e-02	6.000000e+00	6.000000e+00	5.000020e-02	-5.956371e-12	6.192416e-12
6.000000000000000e-02	6.000000e+00	6.000000e+00	6.000020e-02	-5.932556e-12	6.266115e-12
7.000000000000001e-02	6.000000e+00	6.000000e+00	7.000019e-02	-5.907622e-12	6.377809e-12
8.000000000000000e-02	6.000000e+00	6.000000e+00	8.000019e-02	-5.881220e-12	6.545320e-12
9.000000000000000e-02	6.000000e+00	6.000000e+00	9.000019e-02	-5.852882e-12	6.796828e-12
9.999999999999999e-02	6.000000e+00	6.000000e+00	1.000002e-01	-5.822003e-12	7.170466e-12
1.100000000000000e-01	6.000000e+00	6.000000e+00	1.100002e-01	-5.787812e-12	7.723587e-12
1.200000000000000e-01	6.000000e+00	6.000000e+00	1.200002e-01	-5.749265e-12	8.539154e-12
1.300000000000000e-01	6.000000e+00	6.000000e+00	1.300002e-01	-5.704957e-12	9.741066e-12
1.400000000000000e-01	6.000000e+00	6.000000e+00	1.400002e-01	-5.653030e-12	1.150678e-11
1.500000000000000e-01	6.000000e+00	6.000000e+00	1.500002e-01	-5.590973e-12	1.410236e-11
1.600000000000000e-01	6.000000e+00	6.000000e+00	1.600002e-01	-5.515431e-12	1.791417e-11
1.700000000000000e-01	6.000000e+00	6.000000e+00	1.700002e-01	-5.421877e-12	2.351073e-11
1.800000000000000e-01	6.000000e+00	6.000000e+00	1.800002e-01	-5.304158e-12	3.172216e-11
1.900000000000000e-01	6.000000e+00	6.000000e+00	1.900002e-01	-5.153863e-12	4.377307e-11
2.000000000000000e-01	6.000000e+00	6.000000e+00	2.000002e-01	-4.959515e-12	6.145188e-11
2.100000000000000e-01	6.000000e+00	6.000000e+00	2.100002e-01	-4.705305e-12	8.738680e-11
2.200000000000001e-01	6.000000e+00	6.000000e+00	2.200001e-01	-4.369504e-12	1.254310e-10
2.300000000000001e-01	6.000000e+00	6.000000e+00	2.300001e-01	-3.921812e-12	1.812390e-10
2.400000000000001e-01	6.000000e+00	6.000000e+00	2.400001e-01	-3.320194e-12	2.630989e-10
2.500000000000001e-01	6.000000e+00	6.000000e+00	2.500001e-01	-2.505799e-12	3.831724e-10
2.600000000000001e-01	6.000000e+00	6.000000e+00	2.600001e-01	-1.395980e-12	5.592956e-10
2.700000000000001e-01	6.000000e+00	5.999999e+00	2.700000e-01	1.256527e-13	8.176272e-10
2.800000000000001e-01	6.000000e+00	5.999999e+00	2.799999e-01	2.223914e-12	1.196540e-09
2.900000000000001e-01	6.000000e+00	5.999998e+00	2.899998e-01	5.132389e-12	1.752312e-09
3.000000000000001e-01	6.000000e+00	5.999998e+00	2.999997e-01	9.183931e-12	2.567487e-09
3.100000000000001e-01	6.000000e+00	5.999996e+00	3.099995e-01	1.485388e-11	3.763140e-09
3.200000000000001e-01	6.000000e+00	5.999994e+00	3.199992e-01	2.282265e-11	5.516838e-09
3.300000000000001e-01	6.000000e+00	5.999992e+00	3.299989e-01	3.406735e-11	8.089020e-09
3.400000000000001e-01	6.000000e+00	5.999988e+00	3.399984e-01	4.999367e-11	1.186165e-08
3.500000000000001e-01	6.000000e+00	5.999983e+00	3.499976e-01	7.262865e-11	1.739489e-08
3.600000000000002e-01	6.000000e+00	5.999975e+00	3.599965e-01	1.049002e-10	2.551023e-08
