v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	5.000000e+00	5.000000e+00	1.671690e-07	-5.065727e-12	5.090586e-12
1.000000000000000e-02	5.000000e+00	5.000000e+00	1.000017e-02	-5.044806e-12	5.090465e-12
2.000000000000000e-02	5.000000e+00	5.000000e+00	2.000017e-02	-5.023323e-12	5.100319e-12
3.000000000000000e-02	5.000000e+00	5.000000e+00	3.000017e-02	-5.001570e-12	5.116534e-12
4.000000000000000e-02	5.000000e+00	5.000000e+00	4.000016e-02	-4.979305e-12	5.143947e-12
5.000000000000000e-02	5.000000e+00	5.000000e+00	5.000016e-02	-4.956371e-12	5.190005e-12
6.000000000000000e-02	5.000000e+00	5.000000e+00	6.000016e-02	-4.932570e-12	5.262371e-12
7.000000000000001e-02	5.000000e+00	5.000000e+00	7.000016e-02	-4.907622e-12	5.372289e-12
8.000000000000000e-02	5.000000e+00	5.000000e+00	8.000016e-02	-4.881220e-12	5.537357e-12
9.000000000000000e-02	5.000000e+00	5.000000e+00	9.000016e-02	-4.852882e-12	5.785091e-12
9.999999999999999e-02	5.000000e+00	5.000000e+00	1.000002e-01	-4.822003e-12	6.153176e-12
1.100000000000000e-01	5.000000e+00	5.000000e+00	1.100002e-01	-4.787812e-12	6.698080e-12
1.200000000000000e-01	5.000000e+00	5.000000e+00	1.200002e-01	-4.749265e-12	7.501656e-12
1.300000000000000e-01	5.000000e+00	5.000000e+00	1.300002e-01	-4.704956e-12	8.685804e-12
1.400000000000000e-01	5.000000e+00	5.000000e+00	1.400001e-01	-4.653030e-12	1.042576e-11
1.500000000000000e-01	5.000000e+00	5.000000e+00	1.500002e-01	-4.590973e-12	1.298336e-11
1.600000000000000e-01	5.000000e+00	5.000000e+00	1.600001e-01	-4.515431e-12	1.673944e-11
1.700000000000000e-01	5.000000e+00	5.000000e+00	1.700002e-01	-4.421876e-12	2.225405e-11
1.800000000000000e-01	5.000000e+00	5.000000e+00	1.800001e-01	-4.304157e-12	3.034558e-11
1.900000000000000e-01	5.000000e+00	5.000000e+00	1.900001e-01	-4.153861e-12	4.222017e-11
2.000000000000000e-01	5.000000e+00	5.000000e+00	2.000001e-01	-3.959512e-12	5.964049e-11
2.100000000000000e-01	5.000000e+00	5.000000e+00	2.100001e-01	-3.705300e-12	8.519613e-11
2.200000000000001e-01	5.000000e+00	5.000000e+00	2.200001e-01	-3.369497e-12	1.226838e-10
2.300000000000001e-01	5.000000e+00	5.000000e+00	2.300001e-01	-2.921802e-12	1.776748e-10
2.400000000000001e-01	5.000000e+00	5.000000e+00	2.400001e-01	-2.320233e-12	2.583361e-10
2.500000000000001e-01	5.000000e+00	5.000000e+00	2.500001e-01	-1.505778e-12	3.766505e-10
2.600000000000001e-01	5.000000e+00	5.000000e+00	2.600000e-01	-3.960067e-13	5.501919e-10
2.700000000000001e-01	5.000000e+00	4.999999e+00	2.700000e-01	1.125698e-12	8.047352e-10
2.800000000000001e-01	5.000000e+00	4.999999e+00	2.799999e-01	3.223856e-12	1.178088e-09
2.900000000000001e-01	5.000000e+00	4.999998e+00	2.899998e-01	6.132358e-12	1.725700e-09
3.000000000000001e-01	5.000000e+00	4.999998e+00	2.999997e-01	1.018394e-11	2.528905e-09
3.100000000000001e-01	5.000000e+00	4.999996e+00	3.099995e-01	1.585381e-11	3.706987e-09
3.200000000000001e-01	5.000000e+00	4.999995e+00	3.199992e-01	2.382268e-11	5.434903e-09
3.300000000000001e-01	5.000000e+00	4.999992e+00	3.299989e-01	3.506730e-11	7.969251e-09
3.400000000000001e-01	5.000000e+00	4.999988e+00	3.399983e-01	5.099360e-11	1.168636e-08
3.500000000000001e-01	5.000000e+00	4.999983e+00	3.499976e-01	7.362856e-11	1.713813e-08
3.600000000000002e-01	5.000000e+00	4.999975e+00	3.599965e-01	1.059001e-10	2.513392e-08
3.700000000000002e-01	5.000000e+00	4.999963e+00	3.699950e-01	1.520449e-10	3.686052e-08
3.800000000000002e-01	5.000000e+00	4.999946e+00	3.799928e-01	2.182020e-10	5.405797e-08
